Title,Developer(s)
0 Degrees,Kiddo DevEast Asiasoft LimitedNerd Games
20 Bunnies,EastAsiaSoftNerd Games
3D Billiards: Pool & Snooker Remastered,Joindots
Marvel 1943: Rise of Hydra,Skydance New Media
Abandoned,Blue Box Game Studios
Aeterna Noctis,Aeternum Game Studios
AEW Fight Forever,Yuke's
Age of Wonders 4,Triumph Studios
Alan Wake Remastered,Remedy Entertainment
Alan Wake II,Remedy Entertainment
Alex Kidd in Miracle World DX,Jankenteam
Alfred Hitchcock – Vertigo,Pendulo Studios
Aliens,Sabec Limited
Aliens: Fireteam Elite,Cold Iron Studios
Aliens: Dark Descent,Tindalos Interactive
Alice Gear Aegis CS: Concerto of Simulatrix,Pyramid
Among Us,Innersloth
Animal Well,Billy Basso
Anno 1800,Blue Byte
Avatar: The Last Airbender: Quest for Balance,Bamtang Games
Anno: Mutationem,ThinkingStars
Anodyne 2: Return to Dust,Analgesic Productions
Apex Legends,Respawn Entertainment
Apsulov: End of Gods,Angry Demon Studios
Aragami 2,Lince Works
Arcadegeddon,IllFonic
Armored Core VI: Fires of Rubicon,FromSoftware
Arcade Paradise,Nosebleed Interactive
Archetype Arcadia,Water Phoenix
Arctic Awakening,GoldFire Studios
Arrog,Hermanos MagiaLeap Game Studios
Art of Rally,Funselektor Labs
The Artful Escape,Beethoven & Dinosaur
The Ascent,Neon Giant
Assassin's Creed Valhalla,Ubisoft Montreal
Assassin's Creed Mirage,Ubisoft Bordeaux
Assetto Corsa Competizione,Kunos Simulazioni
Asterigos: Curse of the Stars,Acme Gamestudio
Asterix & Obelix: Slap Them All! 2,Mr Nutz Studio
Astria Ascending,Artisan Studios
Astro Bot,Team Asobi
Astro's Playroom,Japan Studio
Atelier Marie: The Alchemist of Salburg - Digital Deluxe Edition,Gust Co. Ltd.
Atelier Ryza 2: Lost Legends & the Secret Fairy,Gust Co. Ltd.
Atomic Heart,Mundfish
Auto Chess,Dragonest Game
Avatar: Frontiers of Pandora,Massive Entertainment
Marvel's Avengers,Crystal Dynamics
Axiom Verge 2,Thomas Happ Games
Aztech: Forgotten Gods,Lienzo
Babylon's Fall,PlatinumGames
Back 4 Blood,Turtle Rock Studios
Balan Wonderworld,Balan CompanyArzest
Baldur's Gate III,Larian Studios
Battlefield 2042,DICE
Batora: Lost Haven,Stormind Games
Beyond Contact,Playcorp Studios
Beyond a Steel Sky,Revolution Software
The Binding of Isaac: Repentance,Nicalis
Bluey: The Videogame,Artax Games
Biomutant,Experiment 101
Bang-On Balls: Chronicles,Exit Plan Games
Black Legend,Warcave
Black Myth: Wukong,Game Science
Blast Brigade vs. the Evil Legion of Dr. Cread,Allods Team Arcade
Blazing Strike,RareBreed Makes Games
Blood Bowl 3,Cyanide
BloodRayne Betrayal: Fresh Bites,WayForward
Borderlands 3,Gearbox Software
Braid Anniversary Edition,Thekla
Bratz: Flaunt Your Fashion,Petoons Studio
Breakout: Recharged,Adamvision StudiosSneakyBox
Bridge Constructor: The Walking Dead,ClockStone
Bugsnax,Young Horses
C14 Dating,Ratalaika Games
Cocoon,Geometric Interactive
Call of Duty: Black Ops Cold War,Raven SoftwareTreyarch
Call of Duty: Black Ops 6,Raven SoftwareTreyarch
Call of Duty: Modern Warfare II,Infinity Ward
Call of Duty: Modern Warfare III,Infinity Ward
Call of Duty: Vanguard,Sledgehammer Games
Call of Duty: Warzone 2.0,Raven SoftwareInfinity Ward
Call of the Sea,Out of the Blue
The Callisto Protocol,Striking Distance Studios
Can't Drive This,Pixel Maniacs
The Centennial Case: A Shijima Story,h.a.n.d.
Centipede: Recharged,Adamvision StudiosSneakyBox
Century: Age of Ashes,Playwing
Chernobylite,The Farm 51
Crazy Chicken X,Korion Interactive
Crazy Chicken Wanted,Independent Arts Software
Crazy Chicken Kart 2,Korion Interactive
Crazy Chicken Xtreme,Korion Interactive
Crazy Chicken Remake,Independent Arts Software
Crazy Chicken Jump 'n' Run Traps and Treasures,Higgs Games
Crazy Chicken Jump 'n' Run Traps and Treasures 2,Korion Interactive
Chicory: A Colorful Tale,Greg Lobanov
Chivalry 2,Torn Banner Studios
Chorus,Fishlabs
Clash: Artifacts of Chaos,ACE Team
Clid the Snail,Weird Beluga Studio
Company of Heroes 3,Relic Entertainment
Concept Destruction,Ratalaika Games
Concord,Firewalk
Control: Ultimate Edition,Remedy Entertainment
Control 2,Remedy Entertainment
Conway: Disappearance at Dahlia View,White Paper Games
Crash Bandicoot 4: It's About Time,Toys for Bob
Crash Drive 3,M2H
Cricket 22,Big Ant Studios
Crimson Desert,Pearl Abyss
Crimsonland,10tons
Cris Tales,Dreams UncorporatedSYCK
Crisis Core: Final Fantasy VII Reunion,Square Enix
CRSED: F.O.A.D.,Darkflow Studio
Crusader Kings III,Paradox Development StudioLab42 Games
Cthulhu Saves Christmas,Zeboyd Games
Curse of the Sea Rats,Petoon Studios
Curved Space,Only By Midnight
Cyanide & Happiness - Freakpocalypse (Episode 1),Explosm Games Skeleton Crew Studios
Cyberpunk 2077,CD Projekt Red
Cyber Shadow,Mechanical Head Studios
CYGNI: All Guns Blazing,KeelWorks
The Dark Pictures Anthology: House of Ashes,Supermassive Games
Darq: Complete Edition,Unfold Games
Dave the Diver,Mintrocket
Dauntless,Phoenix Labs
Dawn of the Monsters,13AM Games
Daymare: 1994 Sandcastle,Invader Studios
DC League of Super-Pets: The Adventures of Krypto and Ace,PHL Collective
DC Universe Online,Dimensional Ink Games
Dead by Daylight,Behaviour Interactive
Deadcraft,Marvelous First Studio
Dead Island 2,Dambuster Studios
Dead Space,Motive Studios
Deathloop,Arkane Studios
Death's Door,Acid Nerve
Death Stranding 2: On the Beach,Kojima Productions
Death Stranding Director's Cut,Kojima Productions
Days of Doom,SneakyBox
Deathverse: Let It Die,SuperTrick Games
Deceive Inc.,Sweet Bandits Studios
Deep Rock Galactic,Ghost Ship Games
Deliver Us The Moon,KeokeN Interactive
Demon's Souls,Bluepoint GamesJapan Studio
Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles,CyberConnect2
Demon Turf,Fabraz
Destiny 2,Bungie
Destroy All Humans! 2: Reprobed,Black Forest Games
Destruction AllStars,Lucid GamesWushu Studios
Devil May Cry 5: Special Edition,Capcom
Diablo II: Resurrected,Vicarious Visions
Diablo IV,Blizzard Team 3Blizzard Albany
Dinos Reborn,HardCodeWay
The Diofield Chronicle,Square EnixLancarse
Dirt 5,Codemasters
Disciples: Liberation,Frima Studio
Disco Elysium: The Final Cut,ZA/UM
Disgaea 6: Defiance of Destiny,Nippon Ichi Software
Disgaea 7: Vows of the Virtueless,Nippon Ichi Software
Divine Knockout,Red Beard Games
DNF Duel,NeopleArc System WorksEighting
Doctor Who: The Edge of Reality,Maze Theory
Doki Doki Literature Club Plus!,Team Salvato
Dolmen,Massive Work Studio
Doom Eternal,id Software
Dragon Ball FighterZ,Arc System Works
Dragon Ball Z: Kakarot,CyberConnect2
Dragon Quest X Offline,Square Enix
Dreaming Sarah,Asteristic Game Studio
Dungeons & Bombs,PigeonDev
Dungeons & Dragons: Dark Alliance,Tuque Games
Dustborn,Red Thread Games
Dying: 1983,Nekcom
Dying Light 2: Stay Human,Techland
Dynasty Warriors 9: Empires,Omega Force
Dysmantle,10tons
Earth Defense Force 6,Sandlot
EA Sports PGA Tour,EA Tiburon
Edge of Eternity,Midgard Studio
eFootball 2022,Konami
Eiyuden Chronicle: Hundred Heroes,Rabbit & Bear Studios
Eiyuden Chronicle: Rising,Rabbit & Bear Studios
ELEX II,Piranha Bytes
Elden Ring,FromSoftware
The Elder Scrolls Online,ZeniMax Online Studios
The Elder Scrolls V: Skyrim,Bethesda Game Studios
Ender Lilies: Quietus of the Knights,Live WireAdglobe
Enchanted Portals,Xixo Games Studio
Endless Dungeon,Amplitude Studios
Endling: Extinction is Forever,Herobeat Studios
Enlisted,Darkflow Software
Escape from Life Inc,Sometimes You
Eternal,Asobimo
Earth Defense: World Brothers 2,Yuke's
Ever Forward,Pathea Games
Evergate,Stone Lantern Games
Evil Dead: The Game,Saber Interactive
Evil Genius 2: World Domination,Rebellion Developments
Evil West,Flying Wild Hog
Exophobia,Zarc Attack
Exoprimal,Capcom
F1 2021,Codemasters
F1 22,Codemasters
F1 23,Codemasters
F1 24,Codemasters
F1 Manager 2022,Frontier Developments
The Falconeer: Warrior Edition,Tomas Sala
Fall Guys,Mediatonic
Far Cry 6,Ubisoft Toronto
Farming Simulator 22,Giants Software
Fatal Frame: Maiden of Black Water,Koei Tecmo
Fatal Frame: Mask of the Lunar Eclipse,Koei TecmoGrasshopper Manufacture
FC 24,EA Vancouver
FIFA 21,EA Vancouver
FIFA 22,EA Vancouver
FIFA 23,EA Vancouver
Final Fantasy VII Rebirth,Square Enix
Final Fantasy VII Remake Intergrade,Square Enix
Final Fantasy XIV,Square Enix
Final Fantasy XVI,Square Enix
Fire Commander,Atomix WolfPixel Crow
First Class Trouble,Invisible Walls
F.I.S.T.: Forged In Shadow Torch,TiGames
Five Nights at Freddy's: Security Breach,Steel Wool Studios
Flea Madness,Missset
Flipper Mechanic,SimFabric
Foamstars,Square Enix
Fobia: St. Dinfna Hotel,Pulsatrix Studios
Football Manager 2023,Sports Interactive
Foreclosed,Antab
Forspoken,Luminous Productions
Fortnite,Epic Games
Freddy Spaghetti,Playful Pasta
Freedom Planet 2,GalaxyTrail
Fuga: Melodies of Steel,CyberConnect2
Fuga: Melodies of Steel 2,CyberConnect2
Genshin Impact,miHoYo
Ghost of Tsushima Director's Cut,Sucker Punch Productions
Ghost of Tsushima: Legends,Sucker Punch Productions
Ghostrunner,One More Level
Ghostrunner 2,One More Level
Ghostwire: Tokyo,Tango Gameworks
Godfall,Counterplay Games
God of War Ragnarök,Santa Monica Studio
Goonya Fighter: Purupuru Shokkan Edition,Mutan
Goodbye Volcano High,KO_OP
Gotham Knights,WB Games Montréal
Gothic Remake,THQ Nordic Barcelona
Gran Turismo 7,Polyphony Digital
Granblue Fantasy: Relink,Cygames
Granblue Fantasy Versus: Rising,Arc System Works
GraviFire,Potata Company
Grand Theft Auto Online,Rockstar North
Grand Theft Auto: The Trilogy – The Definitive Edition,Grove Street Games
Grand Theft Auto V,Rockstar North
Grand Theft Auto VI,Rockstar North
Graven,Slipgate Ironworks
GraviFire,Potata Company
GreedFall,Spiders
Grid Legends,Codemasters
Grounded,Obsidian Entertainment
Marvel's Guardians of the Galaxy,Eidos-Montréal
Guilty Gear Strive,Arc System Works
Gungrave G.O.R.E.,Iggymob
Gunvolt Chronicles Luminous Avenger iX 2,Inti Creates
Hades,Supergiant Games
Haunted Space,Italian Games Factory
Haven,The Game Bakers
Heavenly Bodies,2pt Interactive
Helldivers II,Arrowhead Game Studios
Hell is Us,Rogue Factor
Hell Let Loose,Black Matter
Hellpoint,Cradle Games
Hello Neighbor 2,Eerie Guest
Hi-Fi Rush,Tango Gameworks
Hitman 3,IO Interactive
Hogwarts Legacy,Avalanche Software
Hood: Outlaws & Legends,Sumo Digital
Horizon Forbidden West,Guerrilla Games
Hot Wheels Unleashed,Milestone
Hot Wheels Unleashed 2: Turbocharged,Milestone
Hotel Life: A Resort Simulator,RingZero Game Studio
Hunter's Arena: Legends,Mantisco
Human: Fall Flat,No Brakes Games
I Am Dead,Hollow Ponds
Immortals Fenyx Rising,Ubisoft Quebec
Infliction: Extended Cut,Caustic Reality
In Rays of the Light,Sergey Noskov
In Sound Mind,We Create Stuff
Insurgency: Sandstorm,New World Interactive
Iron Harvest,King Art Games
It Takes Two,Hazelight Studios
Jett: The Far Shore,SuperbrothersPine Scented
JoJo's Bizarre Adventure: All Star Battle R,CyberConnect2
Journey to the Savage Planet,Raccoon Logic
Judgment,Ryu Ga Gotoku Studio
A Juggler's Tale,Kaleidoscube
Jump Challenge!,Source Byte
Jurassic World Evolution 2,Frontier Developments
Just Dance 2021,Ubisoft Paris
Just Dance 2022,Ubisoft Paris
Just Dance 2023 Edition,Ubisoft Paris
Just Dance 2024 Edition,Ubisoft Paris
Jydge,10tons
Kao the Kangaroo,Tate Multimedia
Kena: Bridge of Spirits,Ember Lab
Kerbal Space Program 2,Intercept Games
Kerbal Space Program: Enhanced Edition,Squad
KeyWe,Stonewheat & Sons
King Arthur: Knight's Tale,NeocoreGames
Killer Klowns from Outer Space: The Game,IllFonic Teravision Games
King Oddball,10tons
The King of Fighters XV,SNK
Kingdom of Arcadia,Spoonbox Studio
Kitaria Fables,Twin Hearts
Klonoa Phantasy Reverie Series,Monkey Craft
Knives Out: Extreme,NetEase
Knockout City,Velan Studios
The Last of Us Part I,Naughty Dog
The Last of Us Part II Remastered,Naughty Dog
The Last Stand: Aftermath,Con Artist Games
Last Stop,Variable State
The Last Worker,OiffyWolf & Wood
The Legend of Heroes: Kai no Kiseki,Nihon Falcom
The Legend of Heroes: Trails into Reverie,Nihon Falcom
The Legend of Heroes: Trails Through Daybreak,Nihon Falcom
The Legend of Heroes: Trails Through Daybreak II,Nihon Falcom
Lego Star Wars: The Skywalker Saga,Traveller's Tales
Lemnis Gate,Ratloop Games Canada
Lies of P,Round 8 Studio
Life Is Strange Remastered Collection,Dontnod EntertainmentDeck Nine
Life Is Strange: True Colors,Deck Nine
Like a Dragon: Infinite Wealth,Ryu Ga Gotoku Studio
Like a Dragon Gaiden: The Man Who Erased His Name,Ryu Ga Gotoku Studio
Like a Dragon: Ishin!,Ryu Ga Gotoku Studio
Lil' Guardsman,Hilltop Studios
Lineage W,NCSoft
Lisa: Definitive Edition,Dingaling Productions
Little Devil Inside,Neostream Interactive
Little Nightmares II,Tarsier Studios
The Lord of the Rings: Gollum,Daedalic Entertainment
Lords of the Fallen Remake,Hexworks
Lost in Random,Zoink
Lost Judgment,Ryu Ga Gotoku Studio
Lost Soul Aside,Ultizero Games
Madden NFL 21,EA Tiburon
Madden NFL 22,EA Tiburon
Madden NFL 23,EA Tiburon
Madden NFL 24,EA Tiburon
Maid of Sker,Wales Interactive
The Making of Karateka,Digital Eclipse
Maneater,Tripwire InteractiveBlindside Interactive
Manifold Garden,William Chyr Studio
Maquette,Graceful Decay
Martha Is Dead,LKA
Matchpoint: Tennis Championships,Torus Games
Untitled Max Payne Remake,Remedy Entertainment
MechWarrior 5: Mercenaries,Piranha Games
The Medium,Bloober Team
Megaton Musashi,Level-5
A Memoir Blue,Cloisters Interactive
Metal: Hellsinger,The Outriders
Metallic Child,Studio HG
Metro Exodus Complete Edition,4A Games
MicroMan,Glob Games Studios
Marvel's Midnight Suns,Firaxis Games
MLB The Show 21,San Diego Studio
MLB The Show 22,San Diego Studio
MLB The Show 23,San Diego Studio
MLB The Show 24,San Diego Studio
Mobile Suit Gundam: Battle Operation 2,Bandai Namco Studios
Mobile Suit Gundam: Battle Operation Code Fairy Volume 1,Bandai Namco Studios
Mobile Suit Gundam: Battle Operation Code Fairy Volume 2,Bandai Namco Studios
Mobile Suit Gundam: Battle Operation Code Fairy Volume 3,Bandai Namco Studios
Monark,Lancarse
Monopoly Madness,Engine Software
Monster Boy and the Cursed Kingdom,Game Atelier
Monster Energy Supercross: The Official Videogame 4,Milestone
Monster Hunter Rise,Capcom
Monster Truck Championship,Maximum Games
Mortal Kombat 1,NetherRealm Studios
Mortal Kombat 11,NetherRealm Studios
Mortal Shell: Enhanced Edition,Cold Symmetry
MotoGP 21,Milestone
Mr. Driller Drill Land,Bandai Namco Entertainment
MultiVersus,Player First Games
Mundaun,Hidden Fields
MXGP 2020,Milestone
MX vs. ATV Legends,Rainbow Studios
My Time at Sandrock,Pathea Games
Naruto x Boruto: Ultimate Ninja Storm Connections,CyberConnect2
NBA 2K21,Visual Concepts
NBA 2K22,Visual Concepts
NBA 2K23,Visual Concepts
NBA 2K24,Visual Concepts
Need for Speed Unbound,Criterion Games
Necromunda: Hired Gun,Streum On Studio
Neptunia re★Verse,Compile Heart
Neptunia Shooter,Idea Factory International
Neptunia: Sisters vs Sisters,Compile Heart
Nerf Legends,Fun Labs
Nexomon,Vewo Interactive
NHL 22,EA Vancouver
NHL 23,EA Vancouver
NHL 24,EA Vancouver
Nickelodeon All-Star Brawl,Fair Play LabsLudosity
Nickelodeon All-Star Brawl 2,Fair Play Labs
Nickelodeon Kart Racers 3: Slime Speedway,Bamtang Games
Nioh Remastered,Team Ninja
Nioh 2 Remastered,Team Ninja
Nobody Saves the World,Drinkbox Studios
No Man's Sky,Hello Games
No More Heroes III,Grasshopper Manufacture
Nour: Play With Your Food,Terrifying Jellyfish
Observer: System Redux,Bloober Team
Octopath Traveler II,AcquireSquare Enix
Oddworld: Soulstorm,Oddworld Inhabitants
OlliOlli World,Roll7
One Piece Odyssey,ILCA
Open Roads,Fullbright
Operation: Tango,Clever Plays
Orcs Must Die! 3,Robot Entertainment
Outbreak,Dead Drop Studios
Outbreak: Epidemic,Dead Drop Studios
Outbreak: Lost Hope,Dead Drop Studios
Outbreak: The New Nightmare,Dead Drop Studios
Outbreak: The Nightmare Chronicles,Dead Drop Studios
Outcast 2: A New Beginning,Appeal
The Outlast Trials,Red Barrels
Outriders,People Can Fly
Overcooked! All You Can Eat,Ghost Town GamesTeam17
Override 2: Super Mech League,Modus Studios Brazil
Oxenfree II: Lost Signals,Night School Studio
Paper Beast: Enhanced Edition,Pixel Reef
Pac-Man Mega Tunnel Battle: Chomp Champs,Amber Studio
PAC-MAN World Re-Pac,
Paleo Pines,Italic Pig
Panda Hero Remastered,Markt & Technik
PAW Patrol World,3DClouds
Paperman: Adventure Delivered,Secret Item Games
Payday 3,Starbreeze Studios
Paradise Lost,PolyAmorous
Park Beyond,Limbic Entertainment
Pinball M,Zen Studios
Party Crasher Simulator,Glob Games Studio
The Pathless,Giant Squid
The Pedestrian,Skookum Arts
Pentiment,Obsidian Entertainment
The Persistence Enhanced,Firesprite
Persona 3 Reload,P-Studio
Persona 5 Royal,Atlus
Persona 5 Tactica,P-Studio
PGA Tour 2K23,HB Studios
Ping Redux,Nami Tentou
A Plague Tale: Innocence,Asobo Studio
A Plague Tale: Requiem,Asobo Studio
Planet Coaster: Console Edition,Frontier Developments
Planet Zoo: Console Edition,Frontier Developments
Plumbers Don't Wear Ties,United Pixtures
Poker Club,Ripstone
Port Royale 4,Gaming Minds Studios
Praey for the Gods,No Matter Studios
Pragmata,Capcom
Psikyo Shooting Collection,Zerodiv
Pumpkin Jack,Nicolas Meyssonnier
Puyo Puyo Tetris 2,Sonic Team
Puzzle Bobble 3D: Vacation Odyssey,ININ Games
Quake,id SoftwareNightdive Studios
Quantum Error,TeamKill Media
R-Type Final 3 Evolved,Granzella
Ratchet & Clank: Rift Apart,Insomniac Games
Rage of the Dragons,Noise Factory
Read Only Memories: Neurodiver,MidBoss
Record of Lodoss War: Deedlit in Wonder Labyrinth,Team LadybugWhy So Serious?
Recompile,Phigames
Redout 2,Saber Interactive
Relayer,Kadokawa Games
Renzo Racer,EnsenaSoft
Resident Evil 2,Capcom
Resident Evil 3,Capcom
Resident Evil 4,Capcom
Resident Evil 7: Biohazard,Capcom
Resident Evil Village,Capcom
Returnal,Housemarque
Ride 4,Milestone
Riders Republic,Ubisoft Annecy
The Riftbreaker,EXOR Studios
RiMS Racing,RaceWard Studio
Rise of the Ronin,Team Ninja
Rise of the Slime,Bunkovsky Games
River City Girls,WayForward
River City Girls 2,WayForward
RoboCop: Rogue City,Teyon
Rogue Company,First Watch Games
Romancelvania: BATchelor's Curse,Deep End Games
Roots of Pacha,Soda Den
Rugby 22,Eko Software
Ruined King: A League of Legends Story,Airship Syndicate
Ruinverse,Exe Create
The Rumble Fish 2,Dimps
RWBY: Arrowfell,WayForward
Sackboy: A Big Adventure,Sumo Digital
Saints Row,Volition
Saints Row: The Third Remastered,Volition
Salt and Sacrifice,Ska Studios
Sakura Succubus,Winged Cloud
Sakura Succubus II,Winged Cloud
Sakura Succubus III,Winged Cloud
Sakura Succubus IV,Winged Cloud
Sakura Succubus V,Winged Cloud
Sakura Succubus VI,Winged Cloud
Sakura Succubus VII,Wing Cloud
Sea of Thieves,Rare
SpellForce: Cnonquest of Eo,Owned by GravityOwned by Gravity GmbH
Samurai Gunn 2,YellowAfterlife
Scatch: The Painter Cat,Isaias Game Dev
Scott Pilgrim vs. the World: The Game - Complete Edition,Ubisoft
Season: A Letter to the Future,Scavengers studio
Sephonie,Analgesic Productions
Serious Sam 4,Croteam
Shakedown: Hawaii,Vblank Entertainment
Sand Land,ILCA
Shantae,WayForward
Shantae Advance: Risky Revolution,WayForward
Shattered – Tale of the Forgotten King,Redlock Studio
Sherlock Holmes: The Awakened,Frogwares
Sherlock Holmes: Chapter One,Frogwares
Shing!,Mass Creation
Showa American Story,Nekcom
Sifu,Sloclap
Silent Hill 2,Bloober Team
Sinfeld Remastered,RareBird Games
Skull and Bones,Ubisoft Singapore
Slave Zero X,Poppy Works
Smelter,X Plus
Smalland: Survive the Wilds,Merge Games
The Smurfs: Mission Vileaf,OSome Studio
Sniper Elite 5,Rebellion Developments
Sniper Ghost Warrior Contracts 2,CI Games
Solar Ash,Heart Machine
South Park: Snow Day!,Question Games
Sonic Frontiers,Sonic Team
Sonic Origins,Sonic Team
Sonic Origins Plus,Sonic Team
Sonic Superstars,Sonic Team
Sonic X Shadow Generations,Sonic Team
Soul Hackers 2,Atlus
Soulstice,Reply Game Studios
Spacelords,MercurySteam
SpellForce 3 Reforced,Grimlore Games
Marvel's Spider-Man 2,Insomniac Games
Marvel's Spider-Man: Miles Morales,Insomniac Games
Marvel's Spider-Man Remastered,Insomniac Games
Spirit of the North: Enhanced Edition,Infuse Studio
Star Ocean: The Divine Force,tri-Ace
Star Wars: Battlefront Classic Collection[c],Aspyr
Star Wars: Knights of the Old Republic — Remake,Aspyr
Star Wars Jedi: Fallen Order,Respawn EntertainmentPanic Button
Star Wars Jedi: Survivor,Respawn Entertainment
Steelrising,Spiders
The Stone of Madness,Teku Studios
Stellar Blade,Shift Up
Stonefly,Flight School Studios
Side Bullet,PressA
Stranger of Paradise: Final Fantasy Origin,Team Ninja
Stray,BlueTwelve
Stray Blade,Point Blank
Street Fighter 6,Capcom
Street Outlaws 2: Winner Takes All,Team6 Game Studios
Subnautica,Unknown Worlds Entertainment
Subnautica: Below Zero,Unknown Worlds Entertainment
Suicide Squad: Kill the Justice League,Rocksteady Studios
Sumatra: Fate of Yandi,Ratalaika Games
Super Animal Royale,Pixile
Super Bomberman R 2,Konami
Super Monkey Ball: Banana Mania,Ryu Ga Gotoku Studio
Super Sami Roll,Sonzai Games
Survivor: Castaway Island,Magic Pockets
Sword Art Online: Last Recollection,Aquria
Sword of the Necromancer,Grimorio of Games
Synduality,Bandai Namco Studios
Tails of Iron,Odd Bug Studio
Tales of Arise,Bandai Namco Studios
Tales of Kenzera: Zau,Surgent Studios
The Talos Principle 2,Croteam
Tchia,Awaceb
TopSpin 2K25,Hungar 13
Tekken 8,Bandai Namco Studios
Truck Driver: The American Dream,Kyodai Limited
Temtem,Crema
Terminator: Resistance Enhanced,Teyon
Tesla Force,10tons
Tesla vs Lovecraft,10tons
Test Drive Unlimited Solar Crown,Kylotonn
Tin Hearts,Rogue Sun
Tiny Tina's Wonderlands,Gearbox Software
TOEM,Something We Made
Tom Clancy's Rainbow Six Extraction,Ubisoft Montreal
Tom Clancy's Rainbow Six Siege,Ubisoft Montreal
Tomb Raider I–III Remastered,Aspyr
Tony Hawk's Pro Skater 1 + 2,Vicarious Visions
Tormented Souls,Dual EffectAbstract Digital
Touhou Luna Nights,"Team Ladybug, Why So Serious?"
The Touryst,Shin'en Multimedia
Trek to Yomi,Flying Wild Hog
Tribes of Midgard,Norsfell
Trifox,Glowfish Interactive
Twin Robots: Ultimate Edition,Thinice Games
Two Point Campus,Two Point Studios
Trepang2,Trepang Studios
UFL,Strikerz
Ultimate Fishing Simulator 2,MasterCode
Utawarerumono: Zan 2,Tamsoft
Uncharted: Legacy of Thieves Collection,Naughty Dog
UFC 5,EA Sports
Undead Horde,10tons
Undernauts: Labyrinth of Yomi,Experience
Under Night In-Birth II [Sys:Celes],French-Bread
Unknown 9: Awakening,Reflector Entertainment
Valkyrie Elysium,Soleil
Vampire: The Masquerade – Bloodhunt,Sharkmob
Vampire: The Masquerade – Bloodlines 2,Hardsuit Labs
Vampire: The Masquerade – Swansong,Big Bad Wolf
Vigor,Bohemia Interactive
Visions of Mana,Ouka Studios
Void Terrarium Plus,Nippon Ichi Software
Watch Dogs: Legion,Ubisoft Toronto
Warframe,Digital Extremes
"Warhammer 40,000: Shootas, Blood & Teef",Rogueside
"Warhammer 40,000: Space Marine II",Saber Interactive
Warhammer: Chaosbane,Eko Software
War Hospital,Brave Lamb Studio
War Mongrels,Destructive Creations
War Thunder,Gaijin Entertainment
Warsaw,Pixelated Milk
Wayfinder,Airship Syndicate
Werewolf: The Apocalypse – Earthblood,Cyanide
Wild Hearts,Omega Force
The Witcher 3: Wild Hunt,CD Projekt Red
The Wolf Among Us 2,Telltale GamesAdHoc Studio
Marvel's Wolverine,Insomniac Games
Wo Long: Fallen Dynasty,Team Ninja
Wanderstop,Ivy Road
World of Warships: Legends,Lesta Studio
World War Z: Aftermath,Saber Interactive
Worms Rumble,Team17
WRC 9,Kylotonn
WRC 10,Kylotonn
Wreckfest,Bugbear Entertainment
WWE 2K22,Visual Concepts
WWE 2K23,Visual Concepts
WWE 2K24,Visual Concepts
XDefiant,Ubisoft San Francisco
Yakuza: Like a Dragon,Ryu Ga Gotoku Studio
"Yeah! You Want ""Those Games,"" Right? So Here You Go! Now, Let's See You Clear Them!",Monkeycraft Co. Ltd.
Ys VIII: Lacrimosa of Dana,Nihon Falcom
Ys IX: Monstrum Nox,Nihon Falcom
Ys X: Nordics,Nihon Falcom
Yu-Gi-Oh! Master Duel,Konami
Yuoni,Tricore
Yurukill: The Calumniation Games,G.Rev
