Title,Developer(s)
Striker •World Soccer '94: Road to GloryNA •Eric Cantona Football ChallengeFR •World SoccerJP,Rage Software
Stunt Race FX •Wild TraxJP,Nintendo EADArgonaut Software
Sugoi Hebereke,OLMSunsoft
Sugoro Quest ++ Dicenics,
Sugoroku Ginga Senki,Bottom Up
Sun Sport Fishing: Keiryuu-Ou,Lenar
Sunset Riders,Konami
Supapoon,Now Production
Supapoon DX,Now Production
Super Adventure Island •Takahashi Meijin no Daibouken JimaJP,Produce
Super Adventure Island II •Takahashi Meijin no Daibouken Jima II JP,Make
Super Air Diver 2,Copya Systems
The Super Aquatic Games Starring the Aquabats •James Pond's Crazy SportsEU,Millennium Interactive
Super Back to the Future II,Invictus[citation needed]
Super Baken Ou '95,
Super Baseball 2020,Monolith Corporation
Super Baseball Simulator 1.000 •Super Ultra BaseballJP,Culture Brain
Super Bases Loaded •Super Professional BaseballJP,Tose
Super Bases Loaded 2 [c] •Super 3D BaseballJP •Korean Pro BaseballKR,Tose
Super Bases Loaded 3: License to Steal •Super Moero!! Pro YakyuuJP,Tose
Super Batter Up •Super FamistaJP,Namco
Super Battleship,World Builders Synergistic
Super Battletank 2,Absolute Entertainment
Super Bikkuriman,Tom Create
Super Birdie Rush,Data East
Super Black Bass,Starfish
Super Black Bass 3,
Super Bomberman: Panic Bomber W,Raizing
Super Bomberman [a],Produce
Super Bomberman 2 [a],Produce
Super Bomberman 3 [b],Hudson Soft
Super Bomberman 4,Produce
Super Bomberman 5,Hudson Soft
Super Bombliss,Tose
Super Bonk •Super B.C. KidEU •Chou GenjinJP,A.I. Company Ltd.
Super Bowling,KID
"Super Buster Bros. [c] •Super PangEU, JP",Capcom
Super Caesars Palace •Super Casino: Caesars PalaceJP,Illusion Softworks
Super Casino 2,OeRSTED
Super Castles,
Super Castlevania IV •Akumajou DraculaJP,Konami
Super Chase H.Q. •Super H.Q. Criminal ChaserJP,Taito
Super Chinese Fighter,
Super Chinese World 2: Uchū Ichi Butō Taikai,
Super Chinese World 3: Chō Jigen Daisakusen,
Super Conflict,Manley & Associates
Super Dany,Cryo Interactive
Super Double Dragon •Return of Double DragonJP,Technōs Japan
Super Double Yakuman,
Super Double Yakuman II,
Super Drift Out,Dragnet
Super Dimension Fortress Macross: Scrambled Valkyrie,Winkysoft
Super Dunk Star,C-Lab
Super F1 Circus,Cream
Super F1 Circus 2,Cream
Super F1 Circus 3,Cream
Super F1 Circus Gaiden,Cream
Super F1 Circus Limited,Cream
Super F1 Hero,Aprinet
Super Famicom Wars [d],Intelligent Systems
Super Family Circuit,Game Studio
Super Family Gelände [d],
Super Famista 2,
Super Famista 3,
Super Famista 4,
Super Famista 5,
Super Final Match Tennis,Human Entertainment
Super Fire Pro Wrestling [a],Human Club
Super Fire Pro Wrestling: Queen's Special,Human Club
Super Fire Pro Wrestling 2,Human Club
Super Fire Pro Wrestling 3 Easy Type,Human Club
Super Fire Pro Wrestling 3 Final Bout,Human Club
Super Fire Pro Wrestling Special,Human Club
Super Fire Pro Wrestling X,Human Club
Super Fire Pro Wrestling X Premium,Human Club
Super Fishing: Big Fight,Geo Factory
Super Formation Soccer 94: World Cup Edition,Human Entertainment
Super Formation Soccer 94: World Cup Final Data,Human Entertainment
Super Formation Soccer 95: della Serie A,Human Entertainment
Super Formation Soccer 96: World Club Edition,Human Entertainment
Super Formation Soccer II,Human Entertainment
Super Genjin 2,A.I. Company Ltd.
Super Ghouls 'n Ghosts [c] •Chou MakaimuraJP [b],Capcom
Super Goal! 2 •Takeda Nobuhiro no Super Cup SoccerJP,Tose
Super Godzilla •Chou-GodzillaJP,Advance Communication Company
Super Gomoku Narabe Renju,Naxat Soft
Super Gomoku Shougi,
Super Gussun Oyoyo,Kan's
Super Gussun Oyoyo 2,Kan's
Super Hanafuda,Use
Super Hanafuda 2,Use
Super High Impact,Iguana Entertainment
Super Honmei: G1 Seiha,
Super Ice Hockey •Super Hockey '94JP,Opera House
Super Igo Go Ou,
Super Indy Champ,Opensystem
Super International Cricket,Beam Software
Super James Pond •Super James Pond IIJP,Millennium Interactive
Super Jangou,
Super Jinsei Game,Takara
Super Jinsei Game 2,Takara
Super Jinsei Game 3,Takara
Super Keiba,
Super Keiba 2,Tomcat System
Super Keirin,Betop
Super Kokou Yakyuu: Ichikyuu Jikkon,
Super Kyousouba: Kaze no Sylphid,
Super Kyotei,
Super Kyotei 2,
Super Kyuukyoku Harikiri Stadium,
Super Kyuukyoku Harikiri Stadium 2,Now Production
Super Loopz,Graffiti
Super Mad Champ,Givro
Super Mahjong,
Super Mahjong 2: Honkaku 4 Nin Uchi!,
Super Mahjong 3: Karakuchi,
Super Mahjong Taikai [a],
Super Mario All-Stars [c] •Super Mario CollectionJP,Nintendo EAD
Super Mario All-Stars + Super Mario World,Nintendo EAD
Super Mario Kart [c],Nintendo EAD
Super Mario RPG: Legend of the Seven Stars [c] •Super Mario RPGJP,Square
Super Mario World [c] •Super Mario World: Super Mario Bros. 4JP,Nintendo EAD
Super Mario World 2: Yoshi's Island [c] •Super Mario: Yossy IslandJP,Nintendo EAD
Super Metroid,Nintendo R&D1Intelligent Systems
Super Momotarō Dentetsu DX [ja],Make
Super Momotarō Dentetsu II [ja],Make
Super Momotarō Dentetsu III [ja],Make
Super Morph,Millennium Interactive
Super Naxat Open: Golf de Shoubu da! Dorabocchan,Kuusoukagaku
Super Nazo Puyo: Ruruu no Ruu [a],Compile
Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjouki [a],Compile
Super Nichibutsu Mahjong,
Super Nichibutsu Mahjong 2: Zenkoku Seiha Hen,
Super Nichibutsu Mahjong 3: Yoshimoto Gekijou Hen,
Super Nichibutsu Mahjong 4: Kiso Kenkyuu Hen,
Super Ninja Boy •Super Chinese WorldJP,Culture Brain
Super Ninja-kun [a] •Maru's QuestEU,
Super Nova •Darius ForceJP [a],TaitoAct Japan
Super Off Road,Software Creations
Super Off Road: The Baja •Super 4WD: The BajaJP,Software Creations
Super Okuman Chouja Game,
Super Oozumou: Nessen Ooichiban,
Super Pachi-Slot Mahjong,Syscom
Super Pachinko,Betop
Super Pachinko Taisen,
Super Pinball: Behind the Mask,KAZe
Super Pinball II: Amazing Odyssey,KAZe
Super Play Action Football,Tose
Super Power League,Now Production
Super Power League 2,Now Production
Super Power League 3,Now Production
Super Power League 4,Now Production
Super Professional Baseball II,Tose
Super Punch-Out!! [b],Nintendo R&D3Locomotive Corporation
Super Putty •Putty MoonJP,System 3
Super Puyo Puyo Tsuu,Compile
Super Puyo Puyo Tsuu Remix [a],Compile
Super R.B.I. Baseball,Gray Matter
Super R-Type,Irem
Super Real Mahjong PIV,Affect
Super Real Mahjong PV: Paradise: All-Star 4 Nin Uchi,SETA
Super Robot Wars EX,Winkysoft
Super Robot Wars Gaiden: Masō Kishin – The Lord of Elemental,Winkysoft
Super Rugby,Tose
Super Sangokushi,Koei
Super Scope 6 •Nintendo Scope 6EU,Nintendo R&D1Intelligent Systems
Super Shougi,
Super Shougi 2,
Super Shougi 3: Kitaihei,Gaibrain
Super Slam Dunk •Magic Johnson no Super Slam DunkJP,Virgin Interactive Entertainment
Super Slap Shot,Ringler Studios
Super Smash TV,Beam Software
Super Soccer [c] •Super Formation SoccerJP [a],Human Entertainment
Super Soccer Champ •Euro Football ChampEU •Hat Trick HeroJP,Taito
Super Solitaire •Trump IslandJP,Beam Software
Super Soukoban [a],Thinking Rabbit
Super Star Wars,LucasArtsSculptured Software
Super Star Wars: The Empire Strikes Back,LucasArtsSculptured Software
Super Star Wars: Return of the Jedi,LucasArtsSculptured Software
Super Street Fighter II: The New Challengers [c],Capcom
Super Strike Eagle •F-15 Super Strike EagleJP,MicroProse
Super SWIV •Firepower 2000NA,Sales Curve Interactive
Super Tekkyuu Fight!,Metro
Super Tennis •Super Tennis World CircuitJP,Tokyo Shoseki
Super Tetris 2 + Bombliss,Tose
Super Tetris 2 + Bombliss: Gentei-ban,Tose
Super Tetris 3,Tose
Super Troll Islands,Millennium Interactive
Super Trump Collection,
Super Trump Collection 2,
Super Tsume Shougi 1000 [a],
Super Turrican,Factor 5
Super Turrican 2,Factor 5
Super Ultra Baseball 2 •Super Baseball Simulator 1.000 2NA,
Super Uno,
Super V.G.,TGL
Super Valis IV •Red Moon Rising MaidenJP,Telenet Japan
Super Wagyan Land,Nova Games
Super Wagyan Land 2,Nova Games
Super Widget,Atlus
Super Wrestle Angels,
Super Yakyuu Michi,Nippon Create
Super Zugan: Hakotenjou Kara no Shoutaijou,
Super Zugan 2: Tsukanpo Fighter,
Sutobasu Yarō Shō: 3 on 3 Basketball,KID
Sutte Hakkun [a],Nintendo
Suzuka 8 Hours,Arc System Works
SWAT Kats: The Radical Squadron,AIM
Sword World SFC,
Sword World SFC 2,
Syndicate,Bullfrog Productions
Syvalion •SaibarionJP,Taito
Table Game Daishuugou! Shougi Mahjong Hanafuda [a],
Tactical Soccer,Electronic Arts Victor
Tactics Ogre: Let Us Cling Together [b],Quest Corporation
Tadaima Yuusha Boshuuchuu Okawari,Human Entertainment
Taekwon-Do [c],Human Club
Taikou Rishinden,
Taikyoku Igo: Goliath,
Taikyoku Igo: Idaten,
Take Yutaka G1 Memory,Gaps
Takeda Nobuhiro no Super League Soccer,Tose
Takemiya Masaki Kudan no Igo Taishou,
Tales of Phantasia,Wolf Team
Tamagotchi Town [d],Marigul Management
Tarot Mystery,Ukiyotei
Taz-Mania,Visual Concepts
Tecmo Super Baseball,Tecmo
Tecmo Super Bowl,Tecmo
Tecmo Super Bowl II: Special Edition,Tecmo
Tecmo Super Bowl III: Final Edition,Tecmo
Tecmo Super NBA Basketball,Tecmo
Teenage Mutant Ninja Turtles IV: Turtles in Time [c] •Teenage Mutant Hero Turtles IV: Turtles in TimeEU •Teenage Mutant Ninja Turtles: Turtles in TimeJP,Konami
Teenage Mutant Ninja Turtles: Tournament Fighters •Teenage Mutant Hero Turtles: Tournament FightersEU •Teenage Mutant Ninja Turtles: Mutant WarriorsJP,Konami
Tekichuu Keiba Juku,
Tenchi Muyou! Game Hen,Banpresto
Tenchi o Kurau: Sangokushi Gunyuuden,
Tengai Makyou Zero,Red Company
Tenshi no Uta: Shiroki Tsubasa no Inori,
The Terminator,Gray Matter
T2: The Arcade Game,Probe Entertainment
Terminator 2: Judgment Day,Bits Studios
Terranigma •Tenchi SouzouJP,Quintet
Tetris & Dr. Mario [c],Tose
Tetris 2 •Tetris FlashJP,Bullet-Proof Software
Tetris Attack [a] •Panel de PonJP,Intelligent Systems
Tetris Battle Gaiden,Bullet-Proof Software
Tetsuwan Atom,Minato Giken
Theme Park,Bullfrog Productions
Thomas the Tank Engine & Friends,Software Creations
Thoroughbred Breeder,Hect
Thoroughbred Breeder II,Hect
Thoroughbred Breeder III,Hect
Thunder Spirits,Technosoft
Thunderbirds: Kokusai Kyuujotai Juudou Seyo!,Nova Games
The Tick,Software Creations
Time Slip,Sales Curve Interactive
Time Trax,Malibu Interactive
Timecop,Cryo Interactive
Timon & Pumbaa's Jungle Games,Tiertex Design Studios
Tin Star,Software Creations
Tintin in Tibet,Infogrames
Tiny Toon Adventures: Buster Busts Loose! [c],Konami
Tiny Toon Adventures: Wacky Sports Challenge •Tiny Toon Adventures: Wild & Wacky SportsEU •Tiny Toon Adventures: Dotabata DaiundoukaiJP,Konami
TKO Super Championship Boxing •Kentou-Ou World ChampionJP,Sting Entertainment
TNN Bass Tournament of Champions •Larry Nixon's Super Bass FishingJP,American Softworks
Todd McFarlane's Spawn: The Video Game,Ukiyotei
Tokimeki Memorial: Densetsu no Ki no Shita de,Konami
Tokoro's Mahjong,Syscom
Tom and Jerry,Riedel Software Productions
Tommy Moe's Winter Extreme: Skiing & Snowboarding •Val d'Isere ChampionshipEU •Ski Paradise with SnowboardJP,Loriciel
Tony Meola's Sidekicks Soccer •Super CopaBR •World SoccerEU •Ramos' World Wide SoccerJP,Sculptured Software
Top Gear •Top RacerJP,Gremlin Interactive
Top Gear 2 •Top Racer 2JP,Gremlin Interactive
Top Gear 3000 •The Planet's Champ TG3000JP,Gremlin Interactive
Top Management II,
Toride,Metro
Torneko no Daibōken: Fushigi no Dungeon,Chunsoft
Total Carnage,Black Pearl Software
Tottemo! Luckyman: Lucky Cookie Roulette Assault!!,
Touge Densetsu: Saisoku Battle,Lenar
Tower Dream,C-Lab
Toy Story,Traveller's Tales
Toys,Imagineering
Traverse: Starlight & Prairie,Pandora Box
Treasure Hunter G,Sting Entertainment
"Trials of Mana [c] •Seiken Densetsu 3JP, KR",Square
Trinea,Japan Art Media
Troddlers,Atod
Troy Aikman NFL Football,Leland Interactive Media
True Golf Classics: Wicked 18 •Devil's CourseJP [b],T&E Soft
True Golf Classics: Pebble Beach Golf Links •Pebble Beach no HatouJP,T&E Soft
True Golf Classics: Waialae Country Club •New 3D Golf Simulation: Waialae no KisekiJP [a] [b],T&E Soft
True Lies,Beam Software
Tsukikomori [b],Pandora Box
Tsuppari Ōzumō: Risshin Shusse Hen,Tecmo
Tsuri Tarou [a],
Tsuyoshi Shikkari Shinasai: Taisen Puzzle-dama,
Tuff E Nuff •Dead DanceJP,Jaleco
Turf Hero,
Turf Memories,
Turn and Burn: No-Fly Zone •Super DogfightJP,Absolute Entertainment
The Twisted Tales of Spike McFang •Chou Makai Taisen!: DorabocchanJP,Red Company
U.N. Squadron [c] •Area 88JP,Capcom
Uchū no Kishi: Tekkaman Blade,A.I. Company Ltd.
Uchuu Race: Astro Go! Go!,KAZe
UFO Kamen Yakisoban: Kettler no Kuroi Inbō,KID
Ugoku E Ver. 2.0: Aryol,
Ultima: Kyouryuu Teikoku,Origin Systems
Ultima: Runes of Virtue II •Ultima Gaiden: Kuro Kishi no InbouJP,Origin Systems
Ultima VI: The False Prophet,"Infinity Co., Ltd"
Ultima VII: The Black Gate,Origin Systems
Ultimate Fighter •Hiryuu no Ken S: Golden FighterJP,Culture Brain
Ultimate Mortal Kombat 3,Avalanche Software
Ultra Baseball Jitsumeiban,Culture Brain
Ultra Baseball Jitsumeiban 2,Culture Brain
Ultra Baseball Jitsumeiban 3,Culture Brain
Ultra League: Moero! Soccer Daikessen!!,Tom Create
Ultra Seven,BEC
Ultraman: Towards the Future •Ultraman JP,BEC
Umi no Nushi Tsuri,
Umizuri Meijin: Suzuki Hen,A-Wave
Umihara Kawase,
Uncharted Waters •Daikoukai JidaiJP,Koei
Uncharted Waters: New Horizons •Super Daikoukai JidaiJP,Koei
Undercover Cops,
Uniracers •UnirallyEU,DMA Design
The Untouchables,Ocean Software
Urban Strike,Granite Bay Software
Ushio to Tora,
Utopia: The Creation of a Nation [c],Jaleco
Vegas Stakes •Las Vegas DreamJP,HAL Laboratory
Venom/Spider-Man: Separation Anxiety,Software Creations
Verne World,Dual
Virtual Bart,Sculptured Software
Virtual Soccer •J.League Super SoccerJP,Probe Entertainment
Vortex,Argonaut Software
VS. Collection,Bottom Up
Wagyan Paradise [b],Namco
Waka Taka Ōzumō: Brothers Dream Match,Tomcat System
Waku Waku Ski Wonder Spur,Human Club
Wally wo Sagase!,Natsu System
War 2410,Advanced Productions
War 3010: The Revolution,Advanced Productions
Waratte Iitomo! Tamorinpic,Athena
Wario's Woods,Nintendo
Warlock,Realtime Associates
WarpSpeed,Accolade
Waterworld,Ocean Software
Wayne Gretzky and the NHLPA All-Stars,Time Warner Interactive
Wayne's World,Gray Matter
WCW SuperBrawl Wrestling,Beam Software
Weaponlord,Visual Concepts
Wedding Peach,Shimada Kikaku
We're Back! A Dinosaur's Story,Visual Concepts
Wheel of Fortune: Featuring Vanna White,Imagitec Design
Wheel of Fortune Deluxe!,Imagitec Design
Where in the World Is Carmen Sandiego?,EA Canada
Where in Time Is Carmen Sandiego?,EA Canada
Whirlo •Xandra no Daibouken: Valkyrie to no DeaiJP [b],Nova Games
Whizz,Flair Software
Wild Guns [a],"Natsume Co., Ltd."
WildSnake •Super SnakeyJP,Manley & Associates
Williams Arcade's Greatest Hits,Digital Eclipse Software
Wing Commander,Origin Systems
Wing Commander: The Secret Missions,Origin Systems
Wings 2: Aces High •Blazing SkiesEU •Sky MissionJP,Malibu Interactive
Winning Post,Koei
Winning Post 2,Koei
Winning Post 2: Program '96 [b],Koei
Winter Gold,Funcom
Winter Olympic Games: Lillehammer '94,U.S. Gold
Wizap!: Ankoku no Ou,Pop HouseSAS Sakata
The Wizard of Oz,Manley & Associates
Wizardry Gaiden IV: Throb of the Demon's Heart,Access
Wizardry I-II-III: Story of Llylgamyn [d],Gung-Ho!
Wizardry V: Heart of the Maelstrom •Wizardry V: Saika no ChuushinJP [a],ASCII Entertainment
Wizardry VI: Bane of the Cosmic Forge,Game Studio
Wolfchild,Core Design
Wolfenstein 3D,Imagineer
Wolverine: Adamantium Rage,Bits Studios
Wonder Project J,Almanic
Wondrous Magic,System Sacom
Wordtris,Bullet-Proof Software
World Class Rugby,Audiogenic
World Class Rugby 2: Kokunai Gekitou Hen '93,Denton Designs
World Cup Striker •Elite SoccerNA,Rage SoftwareElite Systems
World Cup USA '94,U.S. Gold
World Heroes,Sunsoft
World Heroes 2,"Saurus Co., Ltd"
World League Soccer •Pro SoccerJP,Anco
World Masters Golf,Arc Developments
Worms,Team17
Wrecking Crew '98 [b],Nintendo R&D1Pax Softonica
WWF RAW,Sculptured Software
WWF Royal Rumble,Sculptured Software
WWF Super WrestleMania,Sculptured Software
WWF WrestleMania: The Arcade Game,Sculptured Software
Xak: The Art of Visual Stage,Micro Cabin
Xardion •Choukou Gasshin SādionJP,Asmik Ace Entertainment
X-Kaliber 2097 •Sword ManiacJP,FupacWinds
X-Men: Mutant Apocalypse,Capcom
X-Terminator 2 Sauke,GameTech
X-Zone,Kemco
Yadamon: Wonderland Dream,Sting Entertainment
Yakouchuu,Athena
Yamato Takeru,Multimedia Intelligence Transfer
YamYam,Pandora Box
Yokoyama Mitsuteru: Sangokushi,Tose
Yokoyama Mitsuteru: Sangokushi 2,Tose
Yokoyama Mitsuteru: Sangokushi Bangi: Sugoroku Eiyuuki,Tose
Yokozuna Monogatari,
Yoshi's Cookie •Yoshi no CookieJP,Bullet-Proof Software
Yoshi's Safari •Yoshi's Road HuntingJP,Nintendo R&D1
Youchien Senki Madara,Nexus Interact
Young Merlin,Westwood Studios
Ys III: Wanderers from Ys,Tonkin House
Ys IV: Mask of the Sun,Tonkin House
"Ys V: Kefin, The Lost City of Sand",Nihon Falcom
Ys V Expert,Nihon Falcom
Yuu Yuu Hakusho,Namco
Yuu Yuu Hakusho 2: Kakutou no Shou,Namco
Yuu Yuu Hakusho Final: Makai Saikyou Retsuden,Namco
Yuu Yuu Hakusho: Tokubetsu Hen,Namco
Yume Maboroshi no Gotoku,Tose
Yume Meikyuu: Kigurumi Daibouken,Axes Art Amuse
Yuujin: Janjuu Gakuen,Varie
Yuujin: Janjuu Gakuen 2,Varie
Yuujin no Furi Furi Girls,U-Jin
Yuuyu no Quiz de GO! GO!,Taito
Zakuro no Aji,Imagineer
Zan II: Spirits,Wolf Team
Zan III Spirits,Wolf Team
Zenkoku Juudan: Ultra Shinri Game,Ukiyotei
Zenkoku Koukou Soccer,Affect
Zenkoku Koukou Soccer 2,Nihon Syscom
Zenkoku Koukou Soccer Senshuken '96,Magical Company
Zen-Nippon Pro Wrestling,"Natsume Co., Ltd."
Zen-Nippon Pro Wrestling: Fight da Pon!,"Natsume Co., Ltd."
Zen-Nippon Pro Wrestling 2: 3–4 Budōkan,"Natsume Co., Ltd."
Zero the Kamikaze Squirrel,Iguana Entertainment
Zero4 Champ RR,Media Rings
Zero4 Champ RR-Z,Media Rings
Zico Soccer,Electronic Arts Victor
Zig Zag Cat: Ostrich Club mo Oosawagi da,Opera House
Zoku: The Legend of Bishin,Magifact
Zombies Ate My Neighbors •ZombiesEU,LucasArts
Zoo-tto Mahjong! [d],Nintendo
"Zool: Ninja of the ""Nth"" Dimension •Zool no Yume BoukenJP",Gremlin Interactive
Zoop,Hookstone
